argomento;categoria;record_autorità;conteggio;nav_link
soldati;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=8874;1;#
seggio elettorale;Lettura iconografica;https://d-nb.info/gnd/107260583X;1;#
Servizio Propaganda e Stampa;Nomi;https://siusa-archivi.cultura.gov.it/cgi-bin/siusa/pagina.pl?TipoPag=prodente&Chiave=95227;1;#
Elezioni politiche italiane giugno 1953;Categoria merceologica/ tipo evento;https://www.wikidata.org/wiki/Q2053440;1;#
riproduzione fotografica;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=10335;1;#
forchetta;Lettura iconografica;https://www.wikidata.org/wiki/Q81881;1;#
pane;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=6169;1;#
missile;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=16405;1;#
propaganda antiamericana;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=53196;1;#
aiuti internazionali;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=35571;1;#
Aiuti americani;Nomi;https://viaf.org/en/viaf/152514704;1;#
Stati Uniti d’America;Luoghi;http://vocab.getty.edu/page/tgn/7012149;1;#
falce e martello;Lettura iconografica;https://www.wikidata.org/wiki/Q170266;1;#
libro aperto;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=303;1;#
Sole nascente;Lettura iconografica;https://www.wikidata.org/wiki/Q2041293;1;#
caricature;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=8986;2;#
politici;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=1182;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
Nikita Sergeevič Chruščëv;Nomi;http://viaf.org/viaf/64007537;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
Nikolaj Aleksandrovič Bulganin;Nomi;http://viaf.org/viaf/97709372;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
Pietro Nenni;Nomi;http://viaf.org/viaf/73865321;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
Palmiro Togliatti;Nomi;http://viaf.org/viaf/27151541;2;#
Premio Stalin per la pace;Nomi;https://www.wikidata.org/wiki/Q308907;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
Unione delle Repubbliche Socialiste Sovietiche;Luoghi;http://vocab.getty.edu/page/tgn/6006211;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
Russia;Luoghi;http://vocab.getty.edu/page/tgn/7002435;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
Mosca;Luoghi;http://vocab.getty.edu/page/tgn/7012974;1;https://vegnachristian14.github.io/Prima-Repubblica-prime-elezioni/Item_1.html
fiamma tricolore simbolo M.S.I.;Lettura iconografica;http://viaf.org/viaf/93166060348780322018;1;#
pietre;Lettura iconografica;https://id.loc.gov/authorities/subjects/sh85017762.html;1;#
puntelli;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=1449;1;#
monumento;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=6592;2;#
elezioni del 18 aprile 1948;Lettura iconografica;https://www.wikidata.org/wiki/Q632933;1;#
elezioni del 25 maggio 1958;Lettura iconografica;https://www.wikidata.org/wiki/Q2053444;1;#
figura allegorica;Lettura iconografica;https://thes.bncf.firenze.sbn.it/termine.php?id=7030;1;#
Italia turrita;Lettura iconografica;http://viaf.org/viaf/102607315;1;#
politici italiani;Lettura iconografica;https://www.wikidata.org/wiki/Q7030460;1;#
Alcide De Gasperi;Lettura iconografica;http://viaf.org/viaf/32011324;1;#
comunicazione istituzionale;Categoria merceologica/ tipo evento;https://www.wikidata.org/wiki/Q2989674;1;#
Nino Tripodi;Nomi;http://viaf.org/viaf/9974304;1;#
Giulio Caradonna;Nomi;https://www.wikidata.org/wiki/Q3769531;1;#
Gennaro Villelli;Nomi;https://opac.sbn.it/risultati-autori/-/opac-autori/detail/IEIV041608;1;#
Francesco Galante;Nomi;https://www.wikidata.org/wiki/Q38084556;1;#
Giorgio Almirante;Nomi;http://viaf.org/viaf/57520898;1;#
Domenico Latanza;Nomi;https://www.wikidata.org/wiki/Q27467947;1;#
Massimo Aureli;Nomi;https://www.lazio900.it/entita/48719-aureli-massimo/;1;#
Vittoria Nunzi;Nomi;https://www.lazio900.it/entita/50055-nunzi-vittoria/;1;#
Trieste;Luoghi;http://vocab.getty.edu/page/tgn/7005539;1;#
Messina;Luoghi;http://vocab.getty.edu/page/tgn/7003897;1;#
Agrigento;Luoghi;http://vocab.getty.edu/page/tgn/7003808;1;#
Ragusa;Luoghi;http://vocab.getty.edu/page/tgn/7003788;1;#
Enna;Luoghi;http://vocab.getty.edu/page/tgn/7003916;1;#
Caltanisetta;Luoghi;http://vocab.getty.edu/page/tgn/7003806;1;#
Trapani;Luoghi;http://vocab.getty.edu/page/tgn/7003849;1;#
Siracusa;Luoghi;http://vocab.getty.edu/page/tgn/7003794;1;#
Marsala;Luoghi;http://vocab.getty.edu/page/tgn/7003850;1;#
Palermo;Luoghi;http://vocab.getty.edu/page/tgn/7003928;1;#
Alto Adige;Luoghi;http://vocab.getty.edu/page/tgn/7030436;1;#
Merano;Luoghi;http://vocab.getty.edu/page/tgn/7005432;1;#
Bressanone;Luoghi;http://vocab.getty.edu/page/tgn/7005433;1;#
Laives;Luoghi;http://vocab.getty.edu/page/tgn/7010001;1;#
Campania;Luoghi;http://vocab.getty.edu/page/tgn/7003005;1;#
Puglia;Luoghi;http://vocab.getty.edu/page/tgn/7010380;1;#
Abruzzo;Luoghi;http://vocab.getty.edu/page/tgn/7009084;1;#
Basilicata;Luoghi;http://vocab.getty.edu/page/tgn/7004610;1;#
Rieti;Luoghi;http://vocab.getty.edu/page/tgn/7006739;1;#
Terni;Luoghi;http://vocab.getty.edu/page/tgn/7005123;1;#
Ciociaria;Luoghi;http://vocab.getty.edu/page/tgn/1111943;1;#
Sardegna;Luoghi;http://vocab.getty.edu/page/tgn/7003121;1;#
Calabria;Luoghi;http://vocab.getty.edu/page/tgn/7007850;1;#
Ferrara;Luoghi;http://vocab.getty.edu/page/tgn/7046682;1;#
Monza;Luoghi;http://vocab.getty.edu/page/tgn/7006006;1;#
economia;Categoria merceologica/ tipo evento;https://thes.bncf.firenze.sbn.it/termine.php?id=4841;1;#
elezioni politiche italiane;Categoria merceologica/ tipo evento;https://www.wikidata.org/wiki/Q3722420;1;#
Italia 2. Dal centrismo al centro-sinistra (1954-1962);Categoria merceologica/ tipo evento;https://patrimonio.archivioluce.com/luce-web/search/result.html?temi=%22Italia%202.%20Dal%20centrismo%20al%20centro-sinistra%20(1954-1962)%22&activeFilter=temi;1;#
Partito Monarchico Popolare;Nomi;http://viaf.org/viaf/5147159248551004870000;1;#
Francia;Luoghi;http://vocab.getty.edu/page/tgn/1000070;1;#
